PDF页码	图片文件	行数	字符数	平均置信度	错误
399	page-399.jpg	74	1281	0.6514	-
400	page-400.jpg	49	1274	0.7633	-
401	page-401.jpg	91	1462	0.7264	-
402	page-402.jpg	52	880	0.6538	-
403	page-403.jpg	57	895	0.6632	-
404	page-404.jpg	64	1322	0.6750	-
405	page-405.jpg	83	1457	0.7181	-
406	page-406.jpg	52	1231	0.5885	-
407	page-407.jpg	122	1939	0.7377	-
408	page-408.jpg	115	1756	0.7783	-
409	page-409.jpg	45	1446	0.5733	-
410	page-410.jpg	50	1221	0.7020	-
411	page-411.jpg	92	1659	0.6739	-
412	page-412.jpg	15	567	0.6667	-
413	page-413.jpg	3	54	0.6667	-
414	page-414.jpg	36	1167	0.6000	-
415	page-415.jpg	71	1425	0.7113	-
416	page-416.jpg	66	1307	0.6379	-
417	page-417.jpg	50	910	0.5100	-
418	page-418.jpg	45	1061	0.5267	-
419	page-419.jpg	48	911	0.4917	-
420	page-420.jpg	82	1261	0.6244	-
421	page-421.jpg	84	1260	0.5583	-
422	page-422.jpg	64	1119	0.5266	-
423	page-423.jpg	102	1711	0.7284	-
424	page-424.jpg	80	1624	0.6025	-
425	page-425.jpg	72	1243	0.7333	-
426	page-426.jpg	45	1212	0.6244	-
427	page-427.jpg	54	1047	0.6111	-
428	page-428.jpg	72	1319	0.5944	-
429	page-429.jpg	53	1157	0.5830	-
430	page-430.jpg	95	1505	0.7516	-
431	page-431.jpg	49	1441	0.7510	-
432	page-432.jpg	78	1420	0.5205	-
433	page-433.jpg	63	1149	0.4937	-
434	page-434.jpg	22	388	0.4045	-
435	page-435.jpg	45	846	0.5600	-
436	page-436.jpg	62	1287	0.6984	-
437	page-437.jpg	90	1233	0.4878	-
438	page-438.jpg	53	1391	0.6396	-
439	page-439.jpg	84	1430	0.5667	-
440	page-440.jpg	65	1166	0.6877	-
441	page-441.jpg	64	1393	0.6719	-
442	page-442.jpg	70	1394	0.6043	-
443	page-443.jpg	64	1312	0.7062	-
444	page-444.jpg	61	1254	0.6443	-
445	page-445.jpg	72	1474	0.7125	-
446	page-446.jpg	37	731	0.6757	-
447	page-447.jpg	57	1051	0.6175	-
448	page-448.jpg	107	1603	0.5336	-
449	page-449.jpg	49	1081	0.5796	-
450	page-450.jpg	108	1890	0.7343	-
451	page-451.jpg	59	901	0.6000	-
452	page-452.jpg	93	1882	0.7161	-
453	page-453.jpg	80	1196	0.6512	-
454	page-454.jpg	42	1111	0.6952	-
455	page-455.jpg	47	1118	0.7213	-
456	page-456.jpg	52	1123	0.6096	-
457	page-457.jpg	48	1265	0.7188	-
458	page-458.jpg	50	1102	0.6920	-
459	page-459.jpg	52	854	0.4115	-
460	page-460.jpg	37	625	0.5135	-
461	page-461.jpg	11	209	0.5364	-
462	page-462.jpg	38	285	0.7868	-
463	page-463.jpg	174	689	0.6420	-
464	page-464.jpg	33	920	0.5909	-
465	page-465.jpg	77	738	0.5870	-
466	page-466.jpg	97	804	0.7907	-
467	page-467.jpg	14	352	0.7000	-
