PDF页码	图片文件	行数	字符数	平均置信度	错误
406	page-406.jpg	48	1032	0.7021	-
407	page-407.jpg	66	1065	0.7939	-
408	page-408.jpg	72	891	0.7056	-
409	page-409.jpg	56	846	0.6232	-
410	page-410.jpg	65	960	0.6862	-
411	page-411.jpg	65	761	0.6231	-
412	page-412.jpg	36	1324	0.5444	-
413	page-413.jpg	44	1531	0.5250	-
414	page-414.jpg	14	314	0.4643	-
415	page-415.jpg	35	1197	0.7714	-
416	page-416.jpg	42	1432	0.8167	-
417	page-417.jpg	42	1475	0.8048	-
418	page-418.jpg	42	1528	0.8286	-
419	page-419.jpg	42	1450	0.8214	-
420	page-420.jpg	42	1522	0.7810	-
421	page-421.jpg	42	1520	0.7643	-
422	page-422.jpg	42	1560	0.7333	-
423	page-423.jpg	42	1499	0.7381	-
424	page-424.jpg	42	1514	0.7095	-
425	page-425.jpg	42	1560	0.7619	-
426	page-426.jpg	42	1633	0.7690	-
427	page-427.jpg	42	1410	0.7690	-
428	page-428.jpg	42	1423	0.7214	-
429	page-429.jpg	42	1375	0.7810	-
430	page-430.jpg	43	1379	0.8256	-
431	page-431.jpg	42	1453	0.7976	-
432	page-432.jpg	42	1375	0.8595	-
433	page-433.jpg	43	1541	0.8721	-
434	page-434.jpg	42	1508	0.8095	-
435	page-435.jpg	42	1431	0.7690	-
436	page-436.jpg	14	461	0.7357	-
437	page-437.jpg	48	1029	0.6937	-
